BLE_0,BLE_1,BLE_2,BLE_3,Location
-63,-110,-78,-66,living_room_1
-110,-110,-79,-110,living_room_1
-65,-80,-79,-67,living_room_1
-73,-110,-79,-70,living_room_1
-66,-79,-78,-69,living_room_1
-110,-86,-78,-67,living_room_1
-58,-73,-82,-110,living_room_1
-60,-77,-110,-74,living_room_1
-58,-80,-110,-76,living_room_1
-65,-80,-110,-76,living_room_1
-59,-79,-110,-75,living_room_1
-61,-75,-82,-71,living_room_1
-62,-110,-79,-73,living_room_1
-61,-80,-110,-110,living_room_1
-110,-76,-110,-71,living_room_1
-68,-81,-110,-89,living_room_1
-67,-84,-82,-72,living_room_1
-69,-110,-110,-80,living_room_1
-110,-110,-110,-73,living_room_1
-63,-84,-110,-73,living_room_1
-61,-77,-110,-110,living_room_1
-67,-110,-83,-80,living_room_1
-74,-87,-110,-110,living_room_1
-68,-110,-80,-79,living_room_1
-66,-94,-80,-86,living_room_1
-62,-77,-80,-76,living_room_1
-59,-110,-110,-88,living_room_1
-58,-89,-83,-78,living_room_1
-59,-80,-79,-82,living_room_1
-61,-110,-86,-79,living_room_1
-32,-78,-75,-81,living_room_1
-33,-77,-76,-75,living_room_1
-32,-77,-77,-78,living_room_1
-34,-77,-74,-80,living_room_1
-33,-78,-74,-76,living_room_1
-45,-110,-77,-66,living_room_1
-52,-78,-110,-69,living_room_1
-50,-110,-81,-67,living_room_1
-52,-110,-83,-68,living_room_1
-51,-110,-85,-110,living_room_1
-53,-78,-110,-68,living_room_1
-65,-79,-80,-66,living_room_1
-56,-78,-79,-65,living_room_1
-110,-110,-80,-65,living_room_1
-110,-82,-110,-67,living_room_1
-56,-79,-82,-68,living_room_1
-65,-110,-82,-75,living_room_1
-58,-73,-82,-75,living_room_1
-110,-110,-82,-75,living_room_1
-58,-110,-82,-77,living_room_1
-110,-75,-110,-68,living_room_1
-64,-110,-80,-72,living_room_1
-81,-82,-110,-88,living_room_1
-70,-110,-79,-82,living_room_1
